Time5:,,
"[90, 105, 155, 175, 234, 271, 281, 317, 367, 398, 420, 423, 447, 474, 525, 544, 635, 719, 725, 755, 805, 810, 828, 1013, 1042, 1052, 1075, 1168, 1175, 1253, 1291, 1349, 1362, 1395, 1397, 1398, 1608, 1624, 1648, 1704, 1730, 1743, 1772, 1792, 1811, 1814, 1862, 1864, 1866, 1868, 1869, 1871, 1872]",185,0.181372549
"[42, 48, 97, 249, 260, 308, 316, 372, 375, 429, 454, 509, 681, 699, 785, 809, 843, 967, 969, 1026, 1167, 1236, 1237, 1249, 1315, 1321, 1340, 1393, 1406, 1413, 1540, 1649, 1700, 1720, 1724, 1725, 1748, 1791, 1834, 1835, 1836, 1837, 1839, 1843, 1844, 1845, 1847, 1853, 1863, 1867]",126,0.123529412
"[32, 36, 41, 67, 176, 183, 289, 357, 366, 415, 479, 536, 673, 768, 783, 927, 1127, 1227, 1280, 1343, 1359, 1391, 1403, 1546, 1573, 1587, 1657, 1675, 1676, 1731, 1741, 1749, 1771, 1786, 1789, 1807, 1809, 1828, 1829, 1832, 1838, 1856, 1857]",140,0.137254902
"[9, 61, 145, 224, 341, 394, 456, 463, 475, 492, 708, 747, 792, 847, 899, 1021, 1097, 1132, 1181, 1190, 1255, 1308, 1380, 1488, 1542, 1644, 1758, 1854]",87,0.085294118
"[52, 109, 140, 256, 302, 342, 431, 443, 495, 520, 557, 561, 617, 639, 770, 975, 1282, 1310, 1543, 1637, 1713, 1750, 1848, 1855, 1861, 1870]",76,0.074509804
"[27, 69, 193, 198, 298, 323, 393, 585, 620, 652, 970, 983, 985, 1000, 1079, 1130, 1208, 1220, 1285, 1372, 1565, 1585, 1641, 1788]",51,0.05
"[114, 143, 201, 318, 547, 553, 701, 711, 784, 973, 1118, 1246, 1279, 1338, 1402, 1505, 1601, 1619, 1639, 1727, 1737, 1768, 1815, 1858]",56,0.054901961
"[95, 642, 697, 710, 808, 924, 1034, 1281, 1283, 1452, 1472, 1517, 1562, 1762, 1767, 1796, 1840, 1842, 1849, 1859]",63,0.061764706
"[1, 3, 44, 93, 132, 146, 189, 211, 312, 1038, 1626, 1784, 1800, 1801, 1846, 1850, 1851]",41,0.040196078
"[346, 469, 503, 1217, 1344, 1375, 1474, 1485, 1629, 1756, 1781, 1833, 1841, 1852, 1865]",61,0.059803922
"[12, 204, 221, 244, 405, 645, 868, 974, 1183, 1231, 1752, 1783, 1808, 1831]",64,0.062745098
"[303, 334, 523, 799, 812, 1312, 1332, 1387, 1434, 1535, 1545, 1556, 1592]",33,0.032352941
"[63, 494, 993, 1860, 1873]",6,0.005882353
"[51, 582, 1436, 1775]",7,0.006862745
"[621, 830, 1647]",3,0.002941176
"[483, 583, 821]",3,0.002941176
"[1049, 1050, 1454]",2,0.001960784
"[396, 586]",1,0.000980392
"[696, 713]",1,0.000980392
"[199, 959]",1,0.000980392
"[980, 1603]",2,0.001960784
"[1072, 1158]",1,0.000980392
"[131, 1248]",1,0.000980392
"[1314, 1346]",4,0.003921569
"[277, 1688]",1,0.000980392
"[605, 1698]",2,0.001960784
"[1797, 1798]",1,0.000980392
"[518, 1830]",1,0.000980392
,,
,1020,
